scenario_id,grain,anomaly_type,anomaly_direction,anomaly_severity,ground_truth_insight,rows_impacted,first_period,last_period,total_trade_value_usd
A1,monthly,volume_drop,negative,high,"Tariff-style shock: West imports, California, Los Angeles, HS4 8542 semiconductors dropped sharply in Sep-Oct 2022.",2,2022-09-30,2022-10-31,11146713.2
A1,weekly,volume_drop,negative,high,"Tariff-style shock: West imports, California, Los Angeles, HS4 8542 semiconductors dropped sharply for 8 weeks.",9,2022-09-04,2022-10-30,12084730.16
B1,monthly,surge,positive,high,"Energy export surge: Texas Houston exports accelerated in Q2 2024, led by HS2 27 and strongest in HS4 2711 natural gas.",6,2024-04-30,2024-06-30,55408970.86
B1,weekly,surge,positive,high,"Energy export surge: Texas Houston exports accelerated in Q2 2024, led by HS2 27 and strongest in HS4 2711 natural gas.",26,2024-04-07,2024-06-30,62497683.31
C1,monthly,weather_disruption,negative,medium,Weather disruption: Northeast/Newark throughput fell across pharma and electronics in Jan-Feb 2023.,16,2023-01-31,2023-02-28,68614443.32
C1,weekly,weather_disruption,negative,medium,Weather disruption: Northeast/Newark throughput fell across pharma and electronics during Jan-Feb 2023.,56,2023-01-08,2023-02-19,56831494.839999996
D1,monthly,rebound,positive,medium,Supply normalization rebound: Midwest Chicago machinery volumes recovered in Jul-Aug 2021.,8,2021-07-31,2021-08-31,47282106.55
D1,weekly,rebound,positive,medium,Supply normalization rebound: Midwest Chicago machinery volumes recovered in Jul-Aug 2021.,36,2021-07-04,2021-08-29,54210914.63
E1,monthly,shutdown,negative,high,Manufacturing shutdown: Michigan export auto parts volumes fell materially in spring 2020.,9,2020-03-31,2020-05-31,26605133.12
E1,weekly,shutdown,negative,high,Manufacturing shutdown: Michigan export auto parts volumes fell materially in spring 2020.,30,2020-03-29,2020-05-31,21854305.65
F1,monthly,demand_shift,positive,medium,Packaging demand shift: Florida plastics imports increased in spring 2025.,18,2025-02-28,2025-04-30,128555298.26
F1,weekly,demand_shift,positive,medium,Packaging demand shift: Florida plastics imports increased in spring 2025.,78,2025-02-02,2025-04-27,146952729.97
