timestamp	iteration	commit	bqs_total	tier1_score	tier2_score	status	mutation_target	description	duration_sec
2026-03-26T14:44:03+00:00	0	cffe90e	94.0	50.0	44.0	baseline	-	Initial baseline	294
2026-03-26T14:52:47+00:00	2	discarded	93.0	50.0	43.0	discard	executive_brief_ceo_prompt	Added a rule to ensure coverage of significant raw metrics from the digest, beyond just derived KPIs, to improve completeness.	270
2026-03-26T14:57:34+00:00	3	719a0d1	94.3	50.0	44.4	keep	brief_prompt_utils	Improved causal depth and data specificity in the default 'Key Findings' content when no significant changes are detected, using more precise terminology and hinting at underlying reasons for stability.	288
2026-03-26T15:01:48+00:00	4	16da0af	95.0	50.0	45.0	keep	agent_models	Upgraded report_synthesis_agent to 'pro' for higher quality reasoning in final report generation, aiming to improve causal depth and narrative coherence.	254
2026-03-26T15:08:36+00:00	6	discarded	79.0	37.0	42.0	discard	hybrid_brief_pipeline	Enhanced actionability in the insights report by explicitly requiring a clear, actionable recommendation for each insight.	167
2026-03-26T15:12:56+00:00	7	6e3643d	94.3	50.0	44.4	keep	agent_models	Upgrading report_synthesis_agent to 'pro' for higher quality reasoning in final report generation, aiming to improve causal depth and narrative coherence.	260
2026-03-26T15:24:21+00:00	10	discarded	88.3	43.5	44.8	discard	statistical_insights_prompt	Enhanced actionability for 'now_what' by explicitly requesting concrete next steps or further investigations based on the statistical finding.	197
2026-03-26T15:28:54+00:00	11	e34b641	94.5	50.0	44.5	keep	agent_models	Upgraded project_manager_agent to 'advanced' for deeper analysis and more actionable recommendations, aiming to improve causal depth and actionability.	273
2026-03-26T15:33:06+00:00	12	ed40fbb	94.2	50.0	44.1	keep	executive_brief_base_prompt	Enhanced narrative coherence by guiding the introduction to Key Findings to summarize overarching trends before diving into specific insights.	252
2026-03-26T15:37:49+00:00	13	ea20220	95.0	50.0	45.0	keep	executive_brief_ceo_prompt	Clarified the required analytical depth for 'what_moved' items, ensuring they provide causal links, implications, or consequences instead of vague context, to enhance causal depth and narrative coherence.	284
2026-03-26T15:46:01+00:00	15	discarded	86.3	43.5	42.9	discard	agent_models	Upgrade project_manager_agent to 'advanced' for deeper analysis and more actionable recommendations, leveraging insights from previous successful experiments on causal depth and actionability.	232
